Date,Type,Area,Ward,Candidate,Position,Votes,Won
October 06 1971,General Election,Transcona-Springfield School Division,1,SOSIAK,Office of School Trustee,2665,No
October 06 1971,General Election,Norwood School Division,,KENNEDY,Office of School Trustee,4535,Yes
October 06 1971,General Election,Winnipeg School Division No. 1,2,FRITH,Office of School Trustee,6471,No
October 06 1971,General Election,Ross House,,George MUNROE,Office of Councillor,1302,Yes
October 06 1971,General Election,Kildonan Park,,BASS,Office of Councillor,290,No
October 06 1971,General Election,Kildonan Park,,Charles W. BAKER,Office of Councillor,944,Yes
October 06 1971,General Election,Winnipeg School Division No. 1,3,MEMRICK,Office of School Trustee,7751,No
October 06 1971,General Election,Regent Park,,DZYNDRA,Office of Councillor,1032,No
October 06 1971,General Election,Assiniboine School Division,2,BJORE,Office of School Trustee,2336,Yes
October 06 1971,General Election,St. Vital School Division,,RODIE,Office of School Trustee,3409,No
October 06 1971,General Election,River East School Division,1,MANN,Office of School Trustee,3580,No
October 06 1971,General Election,Mynarski,,Kenneth GALANCHUK,Office of Councillor,1745,Yes
October 06 1971,General Election,Transcona-Springfield School Division,1,MALASHEWSKI,Office of School Trustee,2606,No
October 06 1971,General Election,Maybank,,SCHUBERT,Office of Councillor,578,No
October 06 1971,General Election,Winnipeg School Division No. 1,2,REED,Office of School Trustee,7889,Yes
October 06 1971,General Election,River East School Division,1,ROUSE,Office of School Trustee,6001,Yes
October 06 1971,General Election,Transcona-Springfield School Division,1,QUAIL,Office of School Trustee,3671,Yes
October 06 1971,General Election,Booth,,George MINAKER,Office of Councillor,3596,Yes
October 06 1971,General Election,Fort Garry School Division,2,PEARCE,Office of School Trustee,1683,Yes
October 06 1971,General Election,Mynarski,,KOSTANIUK,Office of Councillor,331,No
October 06 1971,General Election,Mynarski,,LECHOW,Office of Councillor,913,No
October 06 1971,General Election,Jefferson,,William SASAKI,Office of Councillor,1712,Yes
October 06 1971,General Election,Talbot,,KELLER,Office of Councillor,504,No
October 06 1971,General Election,Seven Oaks School Division,3,ELFENBAUM,Office of School Trustee,3570,No
October 06 1971,General Election,Winnipeg School Division No. 1,1,TROTT,Office of School Trustee,18657,Yes
October 06 1971,General Election,University,,Gerald MERCIER,Office of Councillor,2499,Yes
October 06 1971,General Election,Silver Heights,,MCCLOY,Office of Councillor,1838,No
October 06 1971,General Election,Fernwood,,Al DUCHARME,Office of Councillor,2447,Yes
October 06 1971,General Election,Queenston,,BROTMAN,Office of Councillor,1361,No
October 06 1971,General Election,Kelvin,,William NORRIE,Office of Councillor,3987,Yes
October 06 1971,General Election,Arlington,,MALANCHUK,Office of Councillor,1414,No
October 06 1971,General Election,Strathcona,,Joseph CROPO,Office of Councillor,1302,Yes
October 06 1971,General Election,Transcona-Springfield School Division,1,GRAHAM,Office of School Trustee,1751,No
October 06 1971,General Election,St. Vital School Division,,MELNICK,Office of School Trustee,3263,No
October 06 1971,General Election,Assiniboine School Division,1,MAGNUS,Office of School Trustee,941,Yes
October 06 1971,General Election,Seine River School Division,2,ROZIERE,Office of School Trustee,289,No
October 06 1971,General Election,Cockburn,,Robert JOHANNSON,Office of Councillor,1665,Yes
October 06 1971,General Election,St. James-Assiniboia School Division,,O'BRIEN,Office of School Trustee,11681,Yes
October 06 1971,General Election,Arlington,,Olga FUGA,Office of Councillor,1494,Yes
October 06 1971,General Election,Kirkfield,,WIERSEMA,Office of Councillor,179,No
October 06 1971,General Election,Garden City,,Abe YANOFSKY,Office of Councillor,2726,Yes
October 06 1971,General Election,Fort Garry School Division,3,TAYLOR,Office of School Trustee,283,No
October 06 1971,General Election,Kirkfield,,Bill HALLONQUIST,Office of Councillor,1571,Yes
October 06 1971,General Election,Fort Garry School Division,2,BEARDMORE,Office of School Trustee,1490,No
October 06 1971,General Election,Winakwa,,Michael DENNEHY,Office of Councillor,2152,Yes
October 06 1971,General Election,Sargent Park,,William MCGARVA,Office of Councillor,2390,Yes
October 06 1971,General Election,River East School Division,1,KIRKLAND,Office of School Trustee,5223,Yes
October 06 1971,General Election,Seven Oaks School Division,3,RADCHUK,Office of School Trustee,4178,Yes
October 06 1971,General Election,Queenston,,Warren STEEN,Office of Councillor,3252,Yes
October 06 1971,General Election,Kildonan Park,,STREWCHUK,Office of Councillor,435,No
October 06 1971,General Election,Ross House,,FERGUSON,Office of Councillor,630,No
October 06 1971,General Election,Jefferson,,SOROKIN,Office of Councillor,684,No
October 06 1971,General Election,River East School Division,1,ONYSKO,Office of School Trustee,4147,No
October 06 1971,General Election,Fort Garry School Division,3,JACKSON,Office of School Trustee,537,No
October 06 1971,General Election,Seven Oaks School Division,3,SCHNOOR,Office of School Trustee,3348,No
October 06 1971,General Election,Garden City,,BAILEY,Office of Councillor,1408,No
October 06 1971,General Election,Kern Park,,Philip RIZZUTO,Office of Councillor,1082,Yes
October 06 1971,General Election,Winnipeg School Division No. 1,1,STRANGE,Office of School Trustee,5316,No
October 06 1971,General Election,Transcona-Springfield School Division,1,ANDREE,Office of School Trustee,3913,Yes
October 06 1971,General Election,Seven Oaks School Division,2,SINCLAIR,Office of School Trustee,0,Yes
October 06 1971,General Election,Weston,,Alan C. WADE,Office of Councillor,2289,Yes
October 06 1971,General Election,Transcona-Springfield School Division,1,MATHESON,Office of School Trustee,2071,No
October 06 1971,General Election,Charleswood Park,,HILGENGA,Office of Councillor,329,No
October 06 1971,General Election,Springfield Heights,,COPP,Office of Councillor,645,No
October 06 1971,General Election,Winnipeg School Division No. 1,1,O'LEARY,Office of School Trustee,7903,No
October 06 1971,General Election,Assiniboine School Division,1,MAXWELL,Office of School Trustee,1156,Yes
October 06 1971,General Election,Cockburn,,HAWRYLUK,Office of Councillor,533,No
October 06 1971,General Election,Kildonan Park,,GERSHUNY,Office of Councillor,29,No
October 06 1971,General Election,Kern Park,,FRASER,Office of Councillor,953,No
October 06 1971,General Election,Regent Park,,Bernie WOLFE,Office of Councillor,1988,Yes
October 06 1971,General Election,Talbot,,Alf SKOWRON,Office of Councillor,1509,Yes
October 06 1971,General Election,St. James-Assiniboia School Division,,BANNISTER,Office of School Trustee,11058,Yes
October 06 1971,General Election,Kildonan Park,,O'SHAUGNESSY,Office of Councillor,468,No
October 06 1971,General Election,Memorial,,WOLOWIEC,Office of Councillor,168,No
October 06 1971,General Election,St. Boniface School Division,,COLLETTE,Office of School Trustee,5364,No
October 06 1971,General Election,Jefferson,,WATSON,Office of Councillor,184,No
October 06 1971,General Election,Booth,,SIMPSON,Office of Councillor,860,No
October 06 1971,General Election,Leighton,,DERENCHUK,Office of Councillor,961,No
October 06 1971,General Election,Winnipeg School Division No. 1,3,RYBUCK,Office of School Trustee,5465,No
October 06 1971,General Election,Arlington,,BILESKI,Office of Councillor,353,No
October 06 1971,General Election,Westminster,,Robert STEEN,Office of Councillor,2339,Yes
October 06 1971,General Election,Seven Oaks School Division,3,RABER,Office of School Trustee,5650,Yes
October 06 1971,General Election,Norwood School Division,,COTE OHARA,Office of School Trustee,2573,No
October 06 1971,General Election,Winnipeg School Division No. 1,1,BARAGAR,Office of School Trustee,11916,Yes
October 06 1971,General Election,Ross House,,MARSHALL,Office of Councillor,231,No
October 06 1971,General Election,Fort Garry School Division,3,BAZAN,Office of School Trustee,207,No
October 06 1971,General Election,Seven Oaks School Division,3,BRENNEN,Office of School Trustee,2999,No
October 06 1971,General Election,Kildonan Park,,FERRIER,Office of Councillor,213,No
October 06 1971,General Election,Tache,,LUDWICK,Office of Councillor,1199,No
October 06 1971,General Election,Kirkfield,,FILECCIA,Office of Councillor,67,No
October 06 1971,General Election,St. James-Assiniboia School Division,,DOCKING,Office of School Trustee,13738,Yes
October 06 1971,General Election,Miles MacDonnell,,RUTA,Office of Councillor,1254,No
October 06 1971,General Election,Norwood,,PETERSON,Office of Councillor,924,No
October 06 1971,General Election,Seven Oaks School Division,3,TREGEBOV,Office of School Trustee,4099,Yes
October 06 1971,General Election,Kilnorth,,BARRY,Office of Councillor,546,No
October 06 1971,General Election,Kirkfield,,FORSYTH,Office of Councillor,879,No
October 06 1971,General Election,Norwood,,John GEE,Office of Councillor,2768,Yes
October 06 1971,General Election,Grant Park,,GLAZERMAN,Office of Councillor,317,No
October 06 1971,General Election,Silver Heights,,Pearl MCGONIGAL,Office of Councillor,3125,Yes
October 06 1971,General Election,Riverton,,MAZUR,Office of Councillor,1124,No
October 06 1971,General Election,Roslyn,,June WESTBURY,Office of Councillor,2726,Yes
October 06 1971,General Election,Transcona-Springfield School Division,1,ISBELL,Office of School Trustee,3386,Yes
October 06 1971,General Election,Miles MacDonnell,,Stanley DOWHAN,Office of Councillor,1904,Yes
October 06 1971,General Election,Kildonan Park,,BACHMAN,Office of Councillor,552,No
October 06 1971,General Election,Kildonan Park,,ZAIDMAN,Office of Councillor,710,No
October 06 1971,General Election,Norwood School Division,,STANGL,Office of School Trustee,3804,Yes
October 06 1971,General Election,River East School Division,1,ROCHETTE,Office of School Trustee,2703,No
October 06 1971,General Election,Sisler,,SULYMKO,Office of Councillor,660,No
October 06 1971,General Election,Sisler,,Norman HUDSON,Office of Councillor,967,Yes
October 06 1971,General Election,King Edward,,Eldon ROSS,Office of Councillor,2028,Yes
October 06 1971,General Election,Winakwa,,DURCAN,Office of Councillor,772,No
October 06 1971,General Election,Winnipeg School Division No. 1,2,PAQUETTE,Office of School Trustee,4057,No
October 06 1971,General Election,Winnipeg School Division No. 1,3,MENDELSON,Office of School Trustee,8236,Yes
October 06 1971,General Election,Assiniboine School Division,2,LOMAS,Office of School Trustee,2761,Yes
October 06 1971,General Election,Norquay,,PLATSCHICK,Office of Councillor,406,No
October 06 1971,General Election,Leighton,,SCHICK,Office of Councillor,1229,No
October 06 1971,General Election,Sisler,,CURRIE,Office of Councillor,402,No
October 06 1971,General Election,River East School Division,1,MITCHELL,Office of School Trustee,4187,No
October 06 1971,General Election,Charleswood Park,,KNIGHT,Office of Councillor,832,No
October 06 1971,General Election,King Edward,,COULTER,Office of Councillor,946,No
October 06 1971,General Election,Bannatyne,,Lawrie CHERNIAK,Office of Councillor,1605,Yes
October 06 1971,General Election,Charleswood Park,,Al COOPMAN,Office of Councillor,1905,Yes
October 06 1971,General Election,St. James-Assiniboia School Division,,JOHNSON,Office of School Trustee,14230,Yes
October 06 1971,General Election,St. James-Assiniboia School Division,,ARMSTRONG,Office of School Trustee,10960,Yes
October 06 1971,General Election,St. Boniface School Division,,DAVIS,Office of School Trustee,6771,Yes
October 06 1971,General Election,St. James-Assiniboia School Division,,BUDGELL,Office of School Trustee,9708,No
October 06 1971,General Election,Winnipeg School Division No. 1,1,MCNAIRNAY,Office of School Trustee,3971,No
October 06 1971,General Election,St. Charles,,MAGER,Office of Councillor,1253,No
October 06 1971,General Election,St. Charles,,NORDMAN,Office of Councillor,582,No
October 06 1971,General Election,Jefferson,,NARVEY,Office of Councillor,1053,No
October 06 1971,General Election,University,,BERGSTRESSER,Office of Councillor,193,No
October 06 1971,General Election,Leighton,,James SMITH,Office of Councillor,1855,Yes
October 06 1971,General Election,Riverton,,Kenneth COCHRANE,Office of Councillor,1452,Yes
October 06 1971,General Election,Wildwood,,Richard WANKLING,Office of Councillor,0,Yes
October 06 1971,General Election,Riverton,,PENNER,Office of Councillor,427,No
October 06 1971,General Election,Grant Park,,Morris KAUFMAN,Office of Councillor,1726,Yes
October 06 1971,General Election,Strathcona,,KARDASH,Office of Councillor,382,No
October 06 1971,General Election,Talbot,,TYMCHUK,Office of Councillor,1153,No
October 06 1971,General Election,Seven Oaks School Division,3,KANE,Office of School Trustee,2776,No
October 06 1971,General Election,Fort Garry School Division,3,GYSELMAN,Office of School Trustee,283,No
October 06 1971,General Election,Sisler,,FEDON,Office of Councillor,583,No
October 06 1971,General Election,St. Vital School Division,,HARRISON,Office of School Trustee,5429,Yes
October 06 1971,General Election,Charleswood Park,,RIMMER,Office of Councillor,1439,No
October 06 1971,General Election,Seven Oaks School Division,3,KUSHNER,Office of School Trustee,4484,Yes
October 06 1971,General Election,Transcona-Springfield School Division,1,PHILLIP,Office of School Trustee,2480,No
October 06 1971,General Election,St. Boniface School Division,,ROY,Office of School Trustee,6754,Yes
October 06 1971,General Election,Jefferson,,TURBOVSKY,Office of Councillor,96,No
October 06 1971,General Election,Seven Oaks School Division,3,LEVIN,Office of School Trustee,5488,Yes
October 06 1971,General Election,Bannatyne,,SCHELLENBERG,Office of Councillor,1287,No
October 06 1971,General Election,Memorial,,MORDEN,Office of Councillor,551,No
October 06 1971,General Election,Deer Lodge,,HENDERSON,Office of Councillor,803,No
October 06 1971,General Election,Mynarski,,PARASHIN,Office of Councillor,1673,No
October 06 1971,General Election,Assiniboine School Division,1,PRITCHARD,Office of School Trustee,982,Yes
October 06 1971,General Election,Assiniboine School Division,2,HEMPHILL,Office of School Trustee,3144,Yes
October 06 1971,General Election,Transcona-Springfield School Division,1,PAYNTER,Office of School Trustee,2151,No
October 06 1971,General Election,Dakota,,Lorne A. LEECH,Office of Councillor,2306,Yes
October 06 1971,General Election,Kirkfield,,VARNES,Office of Councillor,155,No
October 06 1971,General Election,Transcona-Springfield School Division,1,HOPKINS,Office of School Trustee,1337,No
October 06 1971,General Election,St. Vital School Division,,DODICK,Office of School Trustee,3068,No
October 06 1971,General Election,St. James-Assiniboia School Division,,WATERS,Office of School Trustee,12365,Yes
October 06 1971,General Election,Leighton,,HUYDA,Office of Councillor,560,No
October 06 1971,General Election,Norwood School Division,,PARKINSON,Office of School Trustee,4042,Yes
October 06 1971,General Election,Cockburn,,CERETTI,Office of Councillor,1350,No
October 06 1971,General Election,Fort Garry School Division,3,PRITCHARD,Office of School Trustee,839,Yes
October 06 1971,General Election,Springfield Heights,,MATHESON,Office of Councillor,994,No
October 06 1971,General Election,Westminster,,ANDERSON,Office of Councillor,380,No
October 06 1971,General Election,Sisler,,HAPIN,Office of Councillor,877,No
October 06 1971,General Election,Winnipeg School Division No. 1,1,LUSH,Office of School Trustee,6270,No
October 06 1971,General Election,Westminster,,MCARTON,Office of Councillor,1388,No
October 06 1971,General Election,Cathedral,,Joseph ZUKEN,Office of Councillor,1477,Yes
October 06 1971,General Election,University,,WYLYNKO,Office of Councillor,312,No
October 06 1971,General Election,St. Vital School Division,,MAGER,Office of School Trustee,6926,Yes
October 06 1971,General Election,John Gunn,,THOMPSON,Office of Councillor,794,No
October 06 1971,General Election,Maybank,,RENTZ,Office of Councillor,180,No
October 06 1971,General Election,Transcona-Springfield School Division,1,STOYKO,Office of School Trustee,3868,Yes
October 06 1971,General Election,St. James-Assiniboia School Division,,MORRISON,Office of School Trustee,13458,Yes
October 06 1971,General Election,River East School Division,2,MERONEK,Office of School Trustee,1254,No
October 06 1971,General Election,Fort Garry School Division,3,KEMP,Office of School Trustee,602,No
October 06 1971,General Election,Tuxedo Heights,,Roy H. PARKHILL,Office of Councillor,2714,Yes
October 06 1971,General Election,Norwood,,BAXTER,Office of Councillor,966,No
October 06 1971,General Election,Ross House,,ARNASON,Office of Councillor,929,No
October 06 1971,General Election,Norquay,,HEBER,Office of Councillor,896,No
October 06 1971,General Election,St. Vital School Division,,ROTHWELL,Office of School Trustee,6574,Yes
October 06 1971,General Election,Kelvin,,SHAPIRO,Office of Councillor,474,No
October 06 1971,General Election,Sargent Park,,ELIASON,Office of Councillor,1853,No
October 06 1971,General Election,Deer Lodge,,Doug STANES,Office of Councillor,2363,Yes
October 06 1971,General Election,Winnipeg School Division No. 1,2,SLINGSBY,Office of School Trustee,8251,Yes
October 06 1971,General Election,Seine River School Division,2,GRIER,Office of School Trustee,460,Yes
October 06 1971,General Election,Winakwa,,MCGURRAN,Office of Councillor,1304,No
October 06 1971,General Election,St. Vital School Division,,BUCHANAN,Office of School Trustee,5165,Yes
October 06 1971,General Election,Arlington,,MAZOWITA,Office of Councillor,62,No
October 06 1971,General Election,Arlington,,DUCH,Office of Councillor,372,No
October 06 1971,General Election,Assiniboine School Division,1,WEIR,Office of School Trustee,1025,Yes
October 06 1971,General Election,Grant Park,,FOGEL,Office of Councillor,928,No
October 06 1971,General Election,River East School Division,2,SCHMIDT,Office of School Trustee,2221,Yes
October 06 1971,General Election,Queenston,,DECTER,Office of Councillor,851,No
October 06 1971,General Election,St. James-Assiniboia School Division,,WOOD,Office of School Trustee,9025,No
October 06 1971,General Election,Norwood School Division,,SINNOK,Office of School Trustee,3557,Yes
October 06 1971,General Election,Memorial,,SIAMANDAS,Office of Councillor,844,No
October 06 1971,General Election,St. Vital School Division,,KENNEDY,Office of School Trustee,7748,Yes
October 06 1971,General Election,Fort Garry School Division,3,FERGUSON,Office of School Trustee,620,No
October 06 1971,General Election,Tuxedo Heights,,ROSBOROUGH,Office of Councillor,1401,No
October 06 1971,General Election,Tuxedo Heights,,FULOP,Office of Councillor,710,No
October 06 1971,General Election,Winnipeg School Division No. 1,2,ZAIFMAN,Office of School Trustee,2793,No
October 06 1971,General Election,Fort Garry School Division,1,MCMILLAN,Office of School Trustee,1828,Yes
October 06 1971,General Election,St. James-Assiniboia School Division,,TOMLINSON,Office of School Trustee,9417,No
October 06 1971,General Election,River East School Division,2,REMPEL,Office of School Trustee,843,No
October 06 1971,General Election,St. Vital School Division,,WEAR,Office of School Trustee,3504,No
October 06 1971,General Election,St. James-Assiniboia School Division,,PAULSON,Office of School Trustee,12059,Yes
October 06 1971,General Election,Memorial,,Robert WILSON,Office of Councillor,1153,Yes
October 06 1971,General Election,Winnipeg School Division No. 1,1,PRESMA,Office of School Trustee,2850,No
October 06 1971,General Election,River East School Division,2,SANDERS,Office of School Trustee,1956,No
October 06 1971,General Election,St. Vital School Division,,APPLEMANS,Office of School Trustee,4895,Yes
October 06 1971,General Election,Roslyn,,MATSYK,Office of Councillor,233,No
October 06 1971,General Election,Kirkfield,,NORMAN,Office of Councillor,195,No
October 06 1971,General Election,Fort Garry School Division,3,DRAGAN,Office of School Trustee,1127,Yes
October 06 1971,General Election,Cathedral,,MULDER,Office of Councillor,1315,No
October 06 1971,General Election,Deer Lodge,,MOSS,Office of Councillor,1731,No
October 06 1971,General Election,Transcona-Springfield School Division,1,PEELER,Office of School Trustee,3020,Yes
October 06 1971,General Election,St. Vital School Division,,SMITH,Office of School Trustee,4168,No
October 06 1971,General Election,Norquay,,Slaw REBCHUK,Office of Councillor,1691,Yes
October 06 1971,General Election,Seven Oaks School Division,3,ARNOLD,Office of School Trustee,3956,Yes
October 06 1971,General Election,Fort Garry School Division,3,MCGINNIS,Office of School Trustee,739,No
October 06 1971,General Election,River East School Division,1,GLAVIN,Office of School Trustee,4811,Yes
October 06 1971,General Election,Kirkfield,,MAZUR,Office of Councillor,86,No
October 06 1971,General Election,Winnipeg School Division No. 1,2,ROWLAND,Office of School Trustee,8245,Yes
October 06 1971,General Election,Winnipeg School Division No. 1,3,SUDOL,Office of School Trustee,7953,No
October 06 1971,General Election,River East School Division,2,SAWCHYN,Office of School Trustee,866,No
October 06 1971,General Election,Norwood School Division,,CURTIS,Office of School Trustee,3968,Yes
October 06 1971,General Election,St. Boniface School Division,,GORDON,Office of School Trustee,6600,Yes
October 06 1971,General Election,Dakota,,HELLER,Office of Councillor,424,No
October 06 1971,General Election,Dakota,,BAGLEY,Office of Councillor,946,No
October 06 1971,General Election,Glenlawn,,Florence PIERCE,Office of Councillor,3052,Yes
October 06 1971,General Election,Winnipeg School Division No. 1,1,DONNER,Office of School Trustee,7477,No
October 06 1971,General Election,Balmoral,,WACH,Office of Councillor,1161,No
October 06 1971,General Election,Strathcona,,LAZARENKO,Office of Councillor,1029,No
October 06 1971,General Election,River East School Division,3,DEGRAFF,Office of School Trustee,0,Yes
October 06 1971,General Election,Memorial,,ROBERTSON,Office of Councillor,655,No
October 06 1971,General Election,Fernwood,,WILLOWS,Office of Councillor,1705,No
October 06 1971,General Election,University,,HJORLEIFSON,Office of Councillor,387,No
October 06 1971,General Election,Transcona-Springfield School Division,1,MOREAU,Office of School Trustee,2063,No
October 06 1971,General Election,Winakwa,,BLACK,Office of Councillor,160,No
October 06 1971,General Election,St. Vital School Division,,LEVINE,Office of School Trustee,4085,No
October 06 1971,General Election,Deer Lodge,,LOUGH,Office of Councillor,622,No
October 06 1971,General Election,Assiniboine School Division,2,D. KAUL,Office of School Trustee,1074,No
October 06 1971,General Election,Winnipeg School Division No. 1,3,KARDASH,Office of School Trustee,7805,No
October 06 1971,General Election,Riverview,,LOUDON,Office of Councillor,1638,No
October 06 1971,General Election,Kilnorth,,ENNS,Office of Councillor,1541,No
October 06 1971,General Election,Maybank,,IRETON,Office of Councillor,807,No
October 06 1971,General Election,University,,VAN WYNSBERG,Office of Councillor,566,No
October 06 1971,General Election,Memorial,,ZUCAWICH,Office of Councillor,69,No
October 06 1971,General Election,Riverview,,Robert T. TAFT,Office of Councillor,2944,Yes
October 06 1971,General Election,St. Charles,,Dan MCKENZIE,Office of Councillor,2269,Yes
October 06 1971,General Election,Seine River School Division,2,LEGER,Office of School Trustee,374,No
October 06 1971,General Election,Langevin,,Ed KOTOWICH,Office of Councillor,3100,Yes
October 06 1971,General Election,Langevin,,NORRIS,Office of Councillor,1086,No
October 06 1971,General Election,Miles MacDonnell,,WRIGHT,Office of Councillor,1301,No
October 06 1971,General Election,River East School Division,1,GILLESPIE,Office of School Trustee,4294,Yes
October 06 1971,General Election,St. James-Assiniboia School Division,,GASKIN,Office of School Trustee,5582,No
October 06 1971,General Election,Tache,,J. Paul MARION,Office of Councillor,3103,Yes
October 06 1971,General Election,River East School Division,1,PETERSON,Office of School Trustee,5662,Yes
October 06 1971,General Election,Winnipeg School Division No. 1,3,PARASHIN,Office of School Trustee,10224,Yes
October 06 1971,General Election,Fort Garry School Division,1,SALE,Office of School Trustee,2012,Yes
October 06 1971,General Election,St. Boniface School Division,,DUNCAN,Office of School Trustee,7495,Yes
October 06 1971,General Election,Assiniboine School Division,2,BENNET,Office of School Trustee,2786,Yes
October 06 1971,General Election,Mynarski,,PAYMENT,Office of Councillor,169,No
October 06 1971,General Election,Polo Park,,Geoffrey DIXON,Office of Councillor,2675,Yes
October 06 1971,General Election,Balmoral,,Adam KLYM,Office of Councillor,1966,Yes
October 06 1971,General Election,Winnipeg School Division No. 1,3,PRUDEN,Office of School Trustee,9174,Yes
October 06 1971,General Election,St. James-Assiniboia School Division,,MCNABB,Office of School Trustee,11397,Yes
October 06 1971,General Election,St. Vital School Division,,PENNER,Office of School Trustee,6661,Yes
October 06 1971,General Election,River East School Division,2,MARTENS,Office of School Trustee,2288,Yes
October 06 1971,General Election,John Gunn,,Donald PERRY,Office of Councillor,1051,Yes
October 06 1971,General Election,Glenlawn,,KENNY,Office of Councillor,1545,No
October 06 1971,General Election,St. James-Assiniboia School Division,,CONKLIN,Office of School Trustee,11336,Yes
October 06 1971,General Election,St. Boniface School Division,,GUYOT,Office of School Trustee,6981,Yes
October 06 1971,General Election,Fort Garry School Division,1,GARSIDE,Office of School Trustee,1265,No
October 06 1971,General Election,Winnipeg School Division No. 1,2,PAPPETI,Office of School Trustee,3449,No
October 06 1971,General Election,Kirkfield,,DELANEY,Office of Councillor,435,No
October 06 1971,General Election,Roslyn,,HULL,Office of Councillor,822,No
October 06 1971,General Election,Weston,,GOLDEN,Office of Councillor,737,No
October 06 1971,General Election,Fort Garry School Division,2,PAUL,Office of School Trustee,1770,Yes
October 06 1971,General Election,Grant Park,,BARISH,Office of Councillor,895,No
October 06 1971,General Election,River East School Division,2,BAERG,Office of School Trustee,1036,No
October 06 1971,General Election,Kilnorth,,Alfred PENNER,Office of Councillor,2906,Yes
October 06 1971,General Election,Cathedral,,KARASINSKI,Office of Councillor,1002,No
October 06 1971,General Election,River East School Division,1,PAYTON,Office of School Trustee,3551,No
October 06 1971,General Election,Winnipeg School Division No. 1,1,MATHIESON,Office of School Trustee,7877,No
October 06 1971,General Election,Springfield Heights,,Norm STAPON,Office of Councillor,2731,Yes
October 06 1971,General Election,Assiniboine School Division,1,JOHNSON,Office of School Trustee,913,No
October 06 1971,General Election,Fort Garry School Division,1,DYER,Office of School Trustee,979,No
October 06 1971,General Election,Kelvin,,QUEEN-HUGHES,Office of Councillor,465,No
October 06 1971,General Election,Winnipeg School Division No. 1,2,SANTA,Office of School Trustee,3789,No
October 06 1971,General Election,Assiniboine School Division,2,G. KAUL,Office of School Trustee,1151,No
October 06 1971,General Election,Kern Park,,MARSHALL,Office of Councillor,860,No
October 06 1971,General Election,Maybank,,Harry ENNS,Office of Councillor,1549,Yes
October 06 1971,General Election,Polo Park,,FINES,Office of Councillor,1711,No
October 06 1971,General Election,John Gunn,,POITRAS,Office of Councillor,614,No
October 06 1971,General Election,Winnipeg School Division No. 1,1,COCHRANE,Office of School Trustee,16789,Yes
October 24 2018,General Election,St. James-Assiniboia School Division,Kirkfield-St. Charles Ward,Megan WEGERT,Office of School Trustee,2263,No
October 24 2018,General Election,Winnipeg,,Tim DIACK,Office of Mayor,10548,No
October 24 2018,General Election,Pembina Trails School Division,3,Kathleen McMILLAN,Office of School Trustee,4766,Yes
October 24 2018,General Election,Pembina Trails School Division,3,Alia HARB,Office of School Trustee,1754,No
October 24 2018,General Election,St. James-Assiniboia School Division,King Edward-Deer Lodge Ward,Jennifer LAWSON,Office of School Trustee,3570,Yes
October 24 2018,General Election,Daniel McIntyre,,Cindy GILROY,Office of Councillor,6396,Yes
October 24 2018,General Election,Louis Riel School Division,1,Louise JOHNSTON,Office of School Trustee,4248,Yes
October 24 2018,General Election,Winnipeg School Division,4,Lisa NAYLOR,Office of School Trustee,0,Yes
October 24 2018,General Election,St. James-Assiniboia School Division,Kirkfield-St. Charles Ward,Charles RAMJUG,Office of School Trustee,2037,No
October 24 2018,General Election,Pembina Trails School Division,3,Laureen GOODRIDGE,Office of School Trustee,2845,No
October 24 2018,General Election,Fort Rouge-East Fort Garry,,Peter KOROMA,Office of Councillor,871,No
October 24 2018,General Election,Seven Oaks School Division,2,Maria SANTOS,Office of School Trustee,4829,Yes
October 24 2018,General Election,Transcona,,Raymond ULASY,Office of Councillor,531,No
October 24 2018,General Election,Winnipeg School Division,6,Yijie CHEN,Office of School Trustee,2443,Yes
October 24 2018,General Election,St. James-Assiniboia School Division,King Edward-Deer Lodge Ward,Adam TAPLIN,Office of School Trustee,730,No
October 24 2018,General Election,Winnipeg School Division,9,Robert BUTERNOWSKY,Office of School Trustee,739,No
October 24 2018,General Election,St. James-Assiniboia School Division,Kirkfield-St. Charles Ward,Lou MULVENNA,Office of School Trustee,1010,No
October 24 2018,General Election,Pembina Trails School Division,3,Laurie LAZER-McCORRIE,Office of School Trustee,693,No
October 24 2018,General Election,Louis Riel School Division,3,Ian RICHARDSON,Office of School Trustee,4981,No
October 24 2018,General Election,Point Douglas,,Vivian SANTOS,Office of Councillor,5327,Yes
October 24 2018,General Election,Winnipeg School Division,6,Rey SANGALANG,Office of School Trustee,1876,No
October 24 2018,General Election,St. James-Assiniboia School Division,Kirkfield-St. Charles Ward,Sandy LETHBRIDGE,Office of School Trustee,4391,Yes
October 24 2018,General Election,Transcona,,Basil EVAN,Office of Councillor,1139,No
October 24 2018,General Election,Transcona,,Sandeep SHARMA,Office of Councillor,258,No
October 24 2018,General Election,St. Norbert-Seine River,,Nancy COOKE,Office of Councillor,4827,No
October 24 2018,General Election,Seven Oaks School Division,2,Greg McFARLANE,Office of School Trustee,4454,Yes
October 24 2018,General Election,Old Kildonan,,Devi SHARMA,Office of Councillor,6923,Yes
October 24 2018,General Election,Louis Riel School Division,3,Neil VADEBONCOEUR,Office of School Trustee,6276,Yes
October 24 2018,General Election,Seven Oaks School Division,3,Richard SAWKA,Office of School Trustee,0,Yes
October 24 2018,General Election,Do you support the opening of Portage and Main to pedestrian crossings?,,No,Question on the Ballot,134203,Yes
October 24 2018,General Election,Transcona,,Shane GESCHIERE,Office of Councillor,486,No
