Date,Type,Area,Ward,Candidate,Position,Votes,Won
October 22 2014,General Election,Winnipeg School Division,1,David LOBSON,Office of School Trustee,609,No
October 26 1977,General Election,Winnipeg School Division,3,Carole BURNETT,Office of School Trustee,5781,No
October 23 1974,General Election,Riverton,,Ray BRUNKA,Office of Councillor,822,Yes
October 25 2006,General Election,Pembina Trails School Division,2,Tim JOHNSON,Office of School Trustee,4764,Yes
October 22 2014,General Election,Transcona,,Russ WYATT,Office of Councillor,8490,Yes
October 27 2010,General Election,Pembina Trails School Division,1,Gail WATSON,Office of School Trustee,6622,Yes
October 26 1977,General Election,River East School Division,1,Allan MCKEEVER,Office of School Trustee,1876,No
October 26 1983,General Election,Deer Lodge,,Jae EADIE,Office of Councillor,4542,Yes
October 26 1995,General Election,Winnipeg School Division,3,Rowena DELUZ,Office of School Trustee,2303,No
October 26 1983,General Election,Notre Dame,,Alan ROSS,Office of Councillor,1015,No
October 28 1998,General Election,Fort Garry School Division,2,Rick MCMILLAN,Office of School Trustee,2000,Yes
October 26 1977,General Election,Transcona-Springfield School Division,,Wally STOYKO,Office of School Trustee,3540,Yes
October 28 1998,General Election,St. Boniface,,Dan VANDAL,Office of Councillor,11789,Yes
October 23 2002,General Election,St. James-Assiniboia School Division,King Edward-Deer Lodge Ward,Scott JOHNSTON,Office of School Trustee,4033,Yes
October 22 2014,General Election,Seven Oaks School Division,2,Greg MCFARLANE,Office of School Trustee,4676,Yes
October 22 1986,General Election,Mynarski,,Bill CHORNOPYSKI,Office of Councillor,1460,No
October 26 1977,General Election,St. Vital School Division,,Yvonne KOWALYK,Office of School Trustee,3073,No
October 26 1995,General Election,Norwood School Division,,Louise JOHNSTON,Office of School Trustee,2239,Yes
October 28 1998,General Election,Seven Oaks School Division,3,Peter SLIWA,Office of School Trustee,2049,No
October 26 1977,General Election,Norwood School Division,,Jack SINNOCK,Office of School Trustee,2177,Yes
October 26 1995,General Election,River Heights,,Don SULLIVAN,Office of Councillor,2871,No
October 26 1989,General Election,Deer Lodge,,George CARTER,Office of Councillor,1372,No
October 23 2002,General Election,Fort Rouge,,Brook JONES,Office of Councillor,4305,No
November 26 2011,By-Election,Louis Riel School Division,2,Colleen MAYER,Office of School Trustee,976,Yes
October 23 2002,General Election,River East Transcona School Division,5,Lori CHROL,Office of School Trustee,4857,Yes
October 22 1986,General Election,Deer Lodge,,Marshall HUGHES,Office of Councillor,475,No
October 26 1995,General Election,Winnipeg School Division,3,Wayne RUMLEY,Office of School Trustee,583,No
October 28 1992,General Election,Transcona-Springfield School Division,1,Gerald BASARAB,Office of School Trustee,1728,No
October 22 1986,General Election,Assiniboine South School Division,2,Myrtle ZIMMERMAN,Office of School Trustee,2004,Yes
October 26 1989,General Election,Seven Oaks School Division,3,Ben ZAIDMAN,Office of School Trustee,3238,Yes
October 27 2010,General Election,Seven Oaks School Division,3,Claudia SARBIT,Office of School Trustee,0,Yes
October 23 1974,General Election,Deer Lodge,,Doug STANES,Office of Councillor,0,Yes
October 26 1983,General Election,Fort Garry School Division,2,Mary-Ann CAIRNS,Office of School Trustee,0,Yes
June 22 2004,By-Election,Winnipeg,,Maryann MIHYCHUK,Office of Mayor,23412,No
October 23 2002,General Election,River East Transcona School Division,4,Alice NEUFELD-KLUMPER,Office of School Trustee,2396,No
October 23 1974,General Election,St. Vital School Division,,Lawrence HARRISON,Office of School Trustee,2525,Yes
October 23 1974,General Election,Winnipeg,,Fred CORNISH,Office of Mayor,3969,No
October 22 2014,General Election,Louis Riel School Division,1,Louise JOHNSTON,Office of School Trustee,6484,Yes
October 26 1977,General Election,Crescent Heights,,Morris KAUFMAN,Office of Councillor,3442,No
October 23 2002,General Election,Louis Riel School Division,2,Grant PRAIRIE,Office of School Trustee,2012,No
October 23 1974,General Election,Ross House,,Dominic DUVAL,Office of Councillor,130,No
October 28 1992,General Election,Fort Rouge,,Roger YOUNG,Office of Councillor,4799,No
October 23 1974,General Election,Riverview,,Ted SHERBROOK,Office of Councillor,669,No
October 27 2010,General Election,North Kildonan,,Brian OLYNIK,Office of Councillor,4733,No
October 26 1977,General Election,St. Boniface School Division,,Jim GARWOOD,Office of School Trustee,3783,Yes
October 23 2002,General Election,St. Norbert,,Rick HRUBENIUK,Office of Councillor,1929,No
October 23 1974,General Election,Norquay,,Slaw REBCHUK,Office of Councillor,1401,Yes
October 28 1992,General Election,River East School Division,1,John JARMAN,Office of School Trustee,1436,No
October 26 1983,General Election,St. James-Assiniboia School Division,King Edward-Deer Lodge Ward,Merv JONES,Office of School Trustee,837,No
October 26 1983,General Election,Glenlawn,,Sig LASER,Office of Councillor,2689,No
October 23 1974,General Election,Riverview,,Art CERETTI,Office of Councillor,470,No
October 23 2002,General Election,Point Douglas,,Tim BEDNARSKI,Office of Councillor,2832,No
October 28 1992,General Election,Fort Garry School Division,3,Henry JANZEN,Office of School Trustee,2667,Yes
October 22 1986,General Election,Assiniboine South School Division,2,Mickey HERSAK,Office of School Trustee,447,No
October 28 1998,General Election,Fort Garry School Division,4,Gerry RYZ,Office of School Trustee,998,No
October 23 1974,General Election,Assiniboine South School Division,2,Myrtle ZIMMERMAN,Office of School Trustee,1353,Yes
October 22 1986,General Election,Seine Valley,,John KARASEVICH,Office of Councillor,1962,No
October 26 1995,General Election,North Kildonan,,Don NYZNIK,Office of Councillor,929,No
October 25 2006,General Election,St. Charles,,Kelly DE GROOT,Office of Councillor,2727,No
October 26 1995,General Election,Seven Oaks School Division,2,Fred ARROJADO,Office of School Trustee,1969,No
October 26 1995,General Election,Fort Garry School Division,3,Steven VADASZ,Office of School Trustee,253,No
October 28 1992,General Election,St. Boniface School Division,,Hugh COBURN,Office of School Trustee,4921,Yes
November 26 2011,By-Election,Louis Riel School Division,2,Jasmine VAN GERWEN,Office of School Trustee,64,No
October 25 2006,General Election,Louis Riel School Division,1,Bob WILSON,Office of School Trustee,2527,No
October 22 1986,General Election,St. Charles,,Eric STEFANSON,Office of Councillor,0,Yes
October 26 1995,General Election,River Heights,,Steve MCMAHON,Office of Councillor,379,No
October 25 2006,General Election,Pembina Trails School Division,1,Walter BRYK,Office of School Trustee,928,No
October 22 2014,General Election,Mynarski,,Greg LITTLEJOHN,Office of Councillor,2698,No
October 26 1977,General Election,Seven Oaks School Division,3,Wayne HINKEL,Office of School Trustee,3028,No
October 26 1983,General Election,River East School Division,2,Peter GRAHAM,Office of School Trustee,2279,Yes
October 28 1998,General Election,St. Boniface,,Gerry DUGUAY,Office of Councillor,4825,No
October 23 1974,General Election,St. Boniface School Division,,Lionel MOORE,Office of School Trustee,1967,No
October 28 1992,General Election,Norwood School Division,,Pat MARTIN,Office of School Trustee,2340,Yes
October 28 1992,General Election,Fort Garry School Division,4,Ray WYANT,Office of School Trustee,0,Yes
October 23 2002,General Election,Daniel McIntyre,,Maureen PENDERGAST,Office of Councillor,3373,No
October 25 2006,General Election,River East Transcona School Division,4,Rod GIESBRECHT,Office of School Trustee,2914,Yes
October 26 1977,General Election,Redboine,,Roy ISSETT,Office of Councillor,84,No
October 26 1989,General Election,Assiniboine South School Division,2,Dave THORLAKSON,Office of School Trustee,2112,Yes
October 28 1992,General Election,Fort Garry School Division,3,Gary CUMMINGS,Office of School Trustee,2584,Yes
