Boundary Type,Boundary Name,Boundary Number,Citizen Canadian,Citizen Non-Canadian,Citizen Total,Born Philippines,Born United Kingdom,Born Poland,Born Germany,Born India,Born Portugal,Born United States America,Born China Peoples Republic,Born Ukraine,Born All Other Country,Born Italy,Born Viet Nam,Born Netherlands,Born Jamaica,Born Hong Kong,Born Yugoslavia Other,Born Guyana,Born Croatia,Born Greece,Born Mexico,Born South Korea,Born France,Born Ireland,Born Austria,Born South Africa,Born Egypt,Born Taiwan,Born Switzerland,Born Morocco,Born Haiti,Born Lebanon,Born Other Country,Born Total Immigrants,Immigrate Before 1961,Immigrate 1961-1970,Immigrate 1971-1980,Immigrate 1981-1990,Immigrate 1991-1995,Immigrate 1996-2001,Immigrate Period Total,Immigrate 1991-2001,Generation 1st,Generation 2nd,Generation 3rd Or More,Generation Total Population,Immigrate Philippines,Immigrate India,Immigrate China Peoples Republic,Immigrate Ukraine,Immigrate South Korea,Immigrate United States America,Immigrate Pakistan,Immigrate Afghanistan,Immigrate All Other,Immigrate Bosnia Herzegovina,Immigrate United Kingdom,Immigrate Yugoslavia,Immigrate Viet Nam,Immigrate Croatia,Immigrate Russia,Immigrate Iraq,Immigrate Jamaica,Immigrate Iran,Immigrate Romania,Immigrate Colombia,Immigrate Mexico,Immigrate Hong Kong,Immigrate South Africa,Immigrate Sri Lanka,Immigrate Germany,Immigrate Congo,Immigrate France,Immigrate Haiti,Immigrate Lebanon,Immigrate Morocco,Immigrate Algeria,Immigrate Other,Immigrate Recent Total
Ward,Old Kildonan Ward,1,39055,2310,41370,3690,360,1310,360,1515,1415,145,135,440,2955,465,230,85,185,55,85,130,220,25,0,0,30,15,40,30,0,0,25,0,0,0,1335,12325,1720,1645,3690,2885,1210,1180,12325,2390,12165,8505,12345,33015,485,285,10,10,0,15,0,0,365,15,35,10,45,40,15,0,45,0,0,0,0,10,0,0,0,0,0,0,0,0,0,150,1180
Ward,Point Douglas Ward,3,39515,2515,42030,5380,265,560,255,485,1055,135,515,265,3050,115,845,95,160,70,25,45,115,10,20,15,10,20,15,10,10,0,0,0,0,0,1470,11960,1040,875,2920,3395,2035,1690,11960,3725,11495,6440,14225,32160,835,190,165,60,0,45,0,15,390,10,0,0,115,0,15,30,0,0,10,0,0,20,0,0,0,0,0,0,0,0,0,190,1695
Ward,River Heights - Fort Garry Ward,8,43355,1420,44775,610,1025,310,305,185,135,475,270,145,3345,675,80,140,90,145,40,70,30,110,30,60,45,60,25,120,25,45,15,0,0,0,1540,6800,1555,1485,1210,1165,700,685,6800,1385,6785,9865,20515,37170,85,15,15,25,45,20,10,0,480,60,55,10,0,0,55,0,10,0,10,0,0,20,25,25,10,0,10,0,0,0,0,190,685
Ward,St. Boniface Ward,12,44730,865,45595,305,630,325,330,195,120,240,140,50,2440,220,85,130,125,70,20,55,15,40,50,65,140,10,40,15,15,20,0,20,10,0,1295,4765,1200,855,1030,870,390,420,4760,810,4735,7330,25005,37075,60,20,20,0,0,20,0,0,310,85,10,0,0,0,0,0,30,0,0,30,40,0,10,0,10,0,10,10,0,0,0,75,420
Ward,St. James - Brooklands Ward,5,29115,590,29700,540,680,150,185,40,45,170,55,90,1215,60,75,80,10,20,45,0,15,95,25,10,30,35,15,10,0,0,10,10,0,0,670,3150,970,480,640,530,255,270,3145,525,3215,6290,15355,24865,115,0,10,15,0,15,0,0,125,15,0,15,0,0,0,0,0,0,0,0,15,0,0,0,10,25,0,0,0,0,0,45,275
Ward,St. Norbert Ward,10,43465,2845,46310,330,950,325,225,670,75,440,900,130,4420,240,130,125,145,495,50,195,40,30,60,95,30,25,40,0,90,70,15,15,0,0,2530,8470,945,1245,1750,1775,1210,1545,8470,2755,8755,6950,21550,37255,20,130,420,60,70,60,45,0,755,10,55,0,0,0,30,25,10,40,60,0,15,15,0,20,10,0,0,10,0,0,0,455,1550
Ward,St. Vital Ward,11,46705,1575,48285,225,970,305,425,305,35,305,240,165,2975,170,95,175,80,105,120,65,15,0,65,15,45,50,25,30,0,10,25,10,25,0,1850,5930,1480,960,1110,830,615,940,5925,1555,5845,8780,24360,38990,35,140,60,75,10,15,25,55,505,75,20,90,0,0,20,15,10,20,30,0,10,0,0,0,0,15,10,10,0,0,0,180,940
Ward,Transcona Ward,13,31690,670,32360,350,465,205,240,55,120,175,20,65,1435,150,45,185,60,20,35,30,30,0,10,0,0,15,35,0,0,0,10,0,0,0,810,3140,705,615,800,500,330,190,3145,520,3165,6100,16005,25265,35,0,0,0,0,20,0,0,145,20,10,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,190
Community Area,Assiniboine South Community Area,2,33920,1115,35035,95,965,245,395,235,15,390,50,160,1875,180,10,45,40,145,55,15,30,150,0,25,10,45,35,110,0,0,10,0,0,20,950,4420,1200,830,960,660,250,520,4420,770,4460,7110,16715,28285,35,35,30,20,0,40,0,0,370,20,70,45,0,10,10,20,0,0,0,0,0,0,60,0,15,0,0,0,20,0,0,100,520
Community Area,Downtown Community Area,11,58825,5520,64345,6185,770,340,440,275,1575,465,775,185,7375,345,1425,130,320,160,190,225,95,115,65,50,55,35,35,50,25,0,30,10,10,0,4005,18395,1915,1590,3520,4555,3320,3495,18395,6815,18170,9715,24880,52765,1225,85,275,15,35,60,50,20,1725,25,10,70,145,55,20,120,60,85,0,15,45,55,0,25,0,15,10,0,0,0,15,955,3490
